area,status,evidence
page_identity,PASS,"Browser opened http://127.0.0.1:8501/; title was Market Shifts Distress Dashboard; app heading rendered as Market Shifts: Firm Distress and Resilience."
not_blank,PASS,"Overview, Firm Explorer, and Macro Compare rendered meaningful dashboard content."
framework_overlay,PASS,"No Streamlit/framework error overlay appeared during desktop or mobile smoke checks."
console_health,PASS,"Current screenshot capture marks the console row PASS: only known benign Vega-Lite render warnings were captured, and no browser error-level app failures were found."
overview_logic,PASS_WITH_CAVEAT,"Overview now separates outcome composition, target coverage, independent positive rates, and unknown/neutral rows. The default sidebar year filter is 2009-2024, so visible row counts differ from the full 2026 panel by design."
firm_explorer_logic,PASS,"Firm metrics, macro comparison, target timeline, and recent rows are separated. Default ticker is AAPL when present."
desktop_visual,PASS_WITH_CAVEAT,"Desktop layout is usable; long sidebar multiselect chips may truncate visually, but firm-level sector/cohort values no longer use cramped metric widgets."
macro_compare_logic,PASS,"Macro comparison exposes raw separate scales, one raw metric, and standardized comparison with selected-window, filtered-panel, and training-period baselines."
mobile_visual,PASS_WITH_CAVEAT,"Mobile viewport renders without crashing and tabs remain usable, but content is long/scroll-heavy and sidebar/filter density is high."
event_context_ui,PASS,"Numeric global-event count/severity fields are chartable, and `global_event_names` is surfaced as readable event context in the Firm Explorer."
