citation_key,authors_year,short_description_what_it_says,critique_or_limitation,evaluation_for_this_thesis,evidence_role,safe_thesis_use,do_not_use_for,accessibility_status,peer_reviewed_yes_no_unknown,metadata_verification_status,unknown_or_inaccessible_flag,evaluation_basis,doi_or_url
beaver1966financial,"Beaver, William H. (1966)",Shows that accounting ratios can contain early warning information before business failure.,Uses a narrow classical design and does not address modern panel validation or ML.,"Foundational and highly relevant, but older; use to show tradition, not modern novelty.",core_or_supporting_literature,Historical foundation for ratio-based failure signals.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2307/2490171
altman1968financial,"Altman, Edward I. (1968)",Introduces the Z-score logic that combines multiple ratios into a failure-risk score.,Industry and time-period specificity limit direct use as a modern universal model.,"Foundational and highly relevant, but older; use to show tradition, not modern novelty.",core_or_supporting_literature,Benchmark for classical bankruptcy prediction.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/j.1540-6261.1968.tb00843.x
altman1997international,"Altman, Edward I. and Narayanan, Paul (1997)","Shows that failure prediction is an international, mature field with many country-specific model variants.",A survey of pre-modern methods; not a guide to current data engineering or explainable ML.,"Foundational and highly relevant, but older; use to show tradition, not modern novelty.",core_or_supporting_literature,Prevents overclaiming novelty in bankruptcy prediction itself.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/1468-0416.00010
ohlson1980financial,"Ohlson, James A. (1980)",Moves bankruptcy prediction toward probabilistic modeling with accounting variables.,Still a classical statistical model and does not solve sample selection or rare-event challenges alone.,"Foundational and highly relevant, but older; use to show tradition, not modern novelty.",core_or_supporting_literature,Supports logistic benchmark and probability framing.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2307/2490395
zmijewski1984methodological,"Zmijewski, Mark E. (1984)",Highlights sample selection and estimation problems in distress modeling.,Predates modern SEC-scale panels and machine learning.,"Foundational and highly relevant, but older; use to show tradition, not modern novelty.",core_or_supporting_literature,Supports explicit audit and label-construction discussion.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.2307/2490859
merton1974pricing,"Merton, Robert C. (1974)",Provides a structural market-based theory of default risk.,Requires market-value and volatility inputs that are outside the current production panel.,"Foundational and highly relevant, but older; use to show tradition, not modern novelty.",context_or_future_work,"Future-work comparator only, not an implemented model.",Do not write as an implemented production feature or model.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/j.1540-6261.1974.tb03058.x
hillegeist2004assessing,"Hillegeist, Stephen A. and Keating, Elizabeth K. and Cram, Donald P. and Lundstedt, Kyle G. (2004)",Compares accounting-score approaches with market-based probability estimates.,Market-based variables are not available for every current row in the production accounting panel.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports limitation/future-work discussion about market-based features.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1023/B:RAST.0000013627.90884.b7
shumway2001forecasting,"Shumway, Tyler (2001)",Argues that bankruptcy prediction should use time-varying panel logic rather than one static observation per firm.,Hazard modeling is not the implemented model family in this project.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports firm-period panel and temporal framing.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1086/209665
duffie2007multi,"Duffie, Darrell and Saita, Leandro and Wang, Ke (2007)",Links corporate default prediction to time-varying firm and macro-financial covariates.,Different event definition and model design than the current SEC/FRED panel.,Useful for market-shift context; do not use to claim macro variables caused individual firm outcomes.,core_or_supporting_literature,Supports dynamic macro-context variables and forward horizons.,Do not use to claim macro variables dominate without empirical support.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1016/j.jfineco.2005.10.011
campbell2008distress,"Campbell, John Y. and Hilscher, Jens and Szilagyi, Jan (2008)","Shows distress risk is related to profitability, leverage, market conditions, and dynamic firm characteristics.",Uses market variables not fully implemented in the current accounting-focused panel.,Relevant support within its stated scope; cite with the limitation column.,core_or_supporting_literature,Supports profitability/leverage/deterioration signal interpretation.,Do not use to claim bankruptcy prediction itself is novel.,metadata_verified_full_text_access_unknown_or_may_be_paywalled,yes,verified_doi,full_text_access_unknown_or_access_limited,verified_metadata_and_source_summary_level; full_text_not_assumed,https://doi.org/10.1111/j.1540-6261.2008.01416.x
