claim_id,thesis_claim,supporting_citation_keys
C1,"Financial ratios and accounting fundamentals are valid early-warning inputs, but not a novel idea by themselves.",beaver1966financial; altman1968financial; ohlson1980financial; zmijewski1984methodological; tian2017financial
C2,Firm-period and forward-looking target design are better aligned with early warning than one static firm observation.,shumway2001forecasting; duffie2007multi; bauer2014hazard
C3,"Strict legal bankruptcy/distress is rare and should be treated as a benchmark, not the whole success/failure story.",campbell2008distress; tinoco2013financial; dasilas2024machine; zhao2024survey
C4,A broader financial-pressure target is defensible when it is clearly separated from legal bankruptcy.,campbell2008distress; charalambous2022maximizing; tinoco2013financial; billios2024power
C5,ML models are defensible for distress prediction only when benchmarked and temporally validated.,barboza2017machine; lessmann2015benchmarking; dasilas2024machine; zhao2024survey; breiman2001random; friedman2001greedy
C6,PR-AUC and positive-class recall/F1 must be shown for rare or imbalanced targets.,davis2006relationship; saito2015precision; fawcett2006roc; chawla2002smote
C7,"Feature importance and SHAP-style explanations describe model behavior, not economic causality.",lundberg2017unified; ribeiro2016trust; guidotti2018survey; molnar2025interpretable; zhang2022xai
C8,Missing values in accounting panels must not be silently converted into zeros or invented persistence.,rubin1976inference; little2019missing; graham2009missing; vanbuuren2018flexible
C9,"Macro/credit variables are useful context, but claims that macro dominates firm fundamentals require empirical evidence.",gilchrist2012credit; longstaff2005corporate; bernanke1999financial; tinoco2013financial; chicagofed2026nfci
C10,"The artifact can be justified as design science and decision support if it connects data, models, interpretation, and user exploration.",hevner2004design; peffers2007design; chen2012business; shneiderman1996eyes; arnott2014decision
C11,Strategic success/resilience framing is acceptable only if the operational financial proxy is explicit.,barney1991firm; teece1997dynamic; hannan1984structural; duchek2020resilience; hepfer2022organizational; linnenluecke2017resilience
C12,"The current thesis novelty is the audited SEC/FRED/global-event firm-period panel plus target hierarchy, temporal validation, interpretation tables, and dashboard artifact.",sec2026financial; sec2024edgarapi; fredapi; fredwhat; hevner2004design; tinoco2013financial; dasilas2024machine
C13,"Distress-prediction variables may not transfer cleanly across institutional settings; emerging-market and Russian evidence supports cautious interpretation of accounting, market, and macro predictors.",charalambakis2015developed_emerging; hunter2001failure_risk_russia; afanasev2023default_emerging
C14,"Russian bankruptcy-prediction literature suggests external macroeconomic factors and market context can improve or alter firm-failure analysis, but these sources support context/future extension rather than current U.S. model claims.",fedorova2020external_factors_russia; nevredinov2021instrumental_ml; cbr2026financial_stability; gornostaev2022realtime_russia
C15,Russia and the United States should not be treated as interchangeable macro-financial environments; any cross-country extension requires separate data design and validation.,davydov2022us_russian_markets; hunter2001failure_risk_russia; charalambakis2015developed_emerging
