event_id,event_name,event_type,event_start,event_end,geography,affected_channels,severity_1_5,verification_status,source_url,notes
gfc_aftershock_2009,Global financial crisis aftershock,financial_crisis,2008-09-15,2009-12-31,Global,"credit;demand;financial_markets",5,seed_to_verify,https://www.federalreservehistory.org/essays/financial-crisis-of-2007-2008,Included because the rebuilt panel starts in 2009 and many firm outcomes reflect the crisis aftershock.
euro_sovereign_debt_2010_2012,European sovereign debt crisis,sovereign_debt,2010-01-01,2012-12-31,Europe,"credit;currency;financial_markets",4,seed_to_verify,https://www.ecb.europa.eu/ecb-and-you/explainers/tell-me-more/html/25_years_maastricht.en.html,Quarterly event window for broad euro-area sovereign stress.
tohoku_fukushima_2011,Tohoku earthquake and Fukushima disaster,natural_disaster,2011-03-11,2011-12-31,Japan,"supply_chain;energy;industrial_production",4,seed_to_verify,https://www.iaea.org/newscenter/focus/fukushima,Used as a large natural-disaster and supply-chain disruption marker.
oil_price_collapse_2014_2016,Oil price collapse,commodity_oil,2014-06-01,2016-02-29,Global,"energy;input_costs;credit",4,seed_to_verify,https://www.eia.gov/todayinenergy/detail.php?id=19451,Relevant for energy-sector distress and cross-sector input-cost effects.
china_market_turbulence_2015,China market and renminbi turbulence,financial_market,2015-06-01,2016-02-29,China/Global,"financial_markets;currency;demand",3,seed_to_verify,https://www.imf.org/external/pubs/ft/ar/2016/eng/overview.htm,Used as an emerging-market and global-demand stress window.
brexit_referendum_2016,Brexit referendum and immediate uncertainty,political_policy,2016-06-23,2016-12-31,United Kingdom/Europe,"currency;trade;policy_uncertainty",3,seed_to_verify,https://www.bankofengland.co.uk/monetary-policy-report/2016/august-2016,Policy uncertainty event window.
us_china_trade_war_2018_2020,US-China trade war,trade_policy,2018-03-22,2020-01-15,United States/China/Global,"trade;supply_chain;input_costs;policy_uncertainty",4,seed_to_verify,https://ustr.gov/issue-areas/enforcement/section-301-investigations/tariff-actions,Useful for manufacturing consumer and technology supply-chain exposure.
covid_pandemic_2020_2021,COVID-19 pandemic shock,pandemic,2020-01-30,2021-12-31,Global,"demand;supply_chain;labor;credit;health",5,seed_to_verify,https://www.who.int/europe/emergencies/situations/covid-19,Major global event for sector-response analysis.
oil_price_crash_2020,Oil price crash during COVID shock,commodity_oil,2020-03-01,2020-04-30,Global,"energy;financial_markets;credit",5,seed_to_verify,https://www.eia.gov/todayinenergy/detail.php?id=43415,Separate short oil event because energy effects differ from the general pandemic shock.
global_supply_chain_crisis_2021_2022,Global supply-chain crisis,supply_chain,2021-01-01,2022-12-31,Global,"supply_chain;input_costs;inventory;transport",4,seed_to_verify,https://www.federalreserve.gov/econres/notes/feds-notes/global-supply-chain-pressure-index-a-new-barometer-of-global-supply-chain-pressures-20220131.html,Pairs naturally with inventory margins and sector outcomes.
inflation_rate_hike_shock_2022_2023,Inflation and rapid rate-hike shock,monetary_inflation,2022-03-16,2023-07-26,United States/Global,"interest_rates;inflation;credit;valuation",5,seed_to_verify,https://www.federalreserve.gov/monetarypolicy/openmarket.htm,Event-style marker for the sharp monetary tightening cycle.
russia_ukraine_war_2022_2024,Russia-Ukraine war and sanctions shock,geopolitical_war,2022-02-24,2024-12-31,Europe/Global,"energy;commodities;supply_chain;policy_uncertainty",5,seed_to_verify,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/,Major geopolitical event with energy commodity and sanctions channels.
banking_stress_2023,US regional banking and Credit Suisse stress,banking_stress,2023-03-08,2023-05-01,United States/Europe,"credit;financial_markets;confidence",4,seed_to_verify,https://www.federalreserve.gov/publications/review-of-the-federal-reserves-supervision-and-regulation-of-silicon-valley-bank.htm,Useful for credit-sensitive sector and financial-sector analysis.
red_sea_shipping_2023_2024,Red Sea shipping disruption,supply_chain,2023-11-19,2024-12-31,Middle East/Global,"transport;supply_chain;input_costs",3,seed_to_verify,https://www.unctad.org/news/red-sea-black-sea-and-panama-canal-unctad-raises-alarm-global-trade-disruptions,Useful for late-period transport and supply-chain context.
