series_id,include_in_panel,category,description,source_url,transforms,reason
BAMLH0A0HYM2,1,credit,ICE BofA US high yield option-adjusted spread,https://fred.stlouisfed.org/series/BAMLH0A0HYM2,raw,Existing credit-risk proxy for risky corporate borrowing conditions.
FEDFUNDS,1,interest_rates,Federal funds effective rate,https://fred.stlouisfed.org/series/FEDFUNDS,raw,Existing short-rate / monetary policy proxy.
GDPC1,1,growth,Real gross domestic product,https://fred.stlouisfed.org/series/GDPC1,raw,Existing broad real activity proxy.
GS10,1,interest_rates,10-year Treasury constant maturity rate,https://fred.stlouisfed.org/series/GS10,raw,Existing long-rate proxy.
INDPRO,1,growth,Industrial production index,https://fred.stlouisfed.org/series/INDPRO,raw_yoy,Existing monthly production cycle proxy.
M2SL,1,money,Money stock M2,https://fred.stlouisfed.org/series/M2SL,raw_yoy,Existing liquidity proxy.
NFCI,1,financial_conditions,Chicago Fed National Financial Conditions Index,https://fred.stlouisfed.org/series/NFCI,raw,Existing aggregate financial conditions proxy.
UNRATE,1,labor,Unemployment rate,https://fred.stlouisfed.org/series/UNRATE,raw,Existing labor market stress proxy.
USEPUINDXD,1,uncertainty,US economic policy uncertainty index,https://fred.stlouisfed.org/series/USEPUINDXD,raw,Existing policy uncertainty proxy.
VIXCLS,1,market_stress,CBOE volatility index close,https://fred.stlouisfed.org/series/VIXCLS,raw,Existing market stress proxy.
T10Y2Y,1,yield_curve,10-year Treasury constant maturity minus 2-year Treasury constant maturity,https://fred.stlouisfed.org/series/T10Y2Y,raw,Adds a direct yield-curve slope / inversion signal.
T10Y3M,1,yield_curve,10-year Treasury constant maturity minus 3-month Treasury constant maturity,https://fred.stlouisfed.org/series/T10Y3M,raw,Adds a second recession-warning term-spread robustness signal.
DCOILWTICO,1,commodities,WTI crude oil spot price Cushing Oklahoma,https://fred.stlouisfed.org/series/DCOILWTICO,raw_yoy,Adds an oil input-cost and energy-sector stress channel.
DTWEXBGS,1,exchange_rate,Nominal broad US dollar index,https://fred.stlouisfed.org/series/DTWEXBGS,raw_yoy,Adds currency pressure for multinationals and import/export-sensitive sectors.
CPIAUCSL,1,inflation,Consumer price index all urban consumers all items,https://fred.stlouisfed.org/series/CPIAUCSL,raw_yoy,Adds headline inflation pressure.
PPIACO,1,inflation,Producer price index by commodity all commodities,https://fred.stlouisfed.org/series/PPIACO,raw_yoy,Adds producer input-cost pressure.
PAYEMS,1,labor,All employees total nonfarm,https://fred.stlouisfed.org/series/PAYEMS,raw_yoy,Adds labor market growth signal beyond unemployment.
RSAFS,1,demand,Advance retail sales retail trade and food services,https://fred.stlouisfed.org/series/RSAFS,raw_yoy,Adds consumer demand pressure relevant to cyclical industries.
HOUST,1,housing,New privately-owned housing units started total units,https://fred.stlouisfed.org/series/HOUST,raw_yoy,Adds construction and rate-sensitive demand channel.
BUSLOANS,1,credit,Commercial and industrial loans all commercial banks,https://fred.stlouisfed.org/series/BUSLOANS,raw_yoy,Adds bank credit supply/use channel.
DRTSCILM,1,credit,Net percentage of banks tightening standards for C&I loans to large and middle-market firms,https://fred.stlouisfed.org/series/DRTSCILM,raw,Adds direct bank lending standards / credit tightening signal.
