priority,citation_key,title,year,access_bucket,oa_status,best_oa_landing_url,best_oa_pdf_url,downloaded_pdf_path,text_extract_path,recommended_action
1,afanasev2023default_emerging,Default Prediction Model for Emerging Capital Market Service Companies,2023,open_access_pdf_downloaded,gold,https://doi.org/10.17323/j.jcfr.2073-0438.17.1.2023.64-77,https://cfjournal.hse.ru/article/download/14056/15763,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/afanasev2023default_emerging.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/afanasev2023default_emerging.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
1,barboza2017machine,Machine Learning Models and Bankruptcy Prediction,2017,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
1,billios2024power,The Power of Numerical Indicators in Predicting Bankruptcy: A Systematic Review,2024,open_access_pdf_download_failed,hybrid,https://doi.org/10.3390/jrfm17100433,https://www.mdpi.com/1911-8074/17/10/433/pdf,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
1,charalambakis2015developed_emerging,On the Prediction of Financial Distress in Developed and Emerging Markets: Does the Choice of Accounting and Market Information Matter? A Comparison of UK and Indian Firms,2015,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
1,dasilas2024machine,Machine Learning Techniques in Bankruptcy Prediction: A Systematic Literature Review,2024,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
1,duchek2020resilience,Organizational Resilience: A Capability-Based Conceptualization,2020,open_access_pdf_downloaded,gold,https://doi.org/10.1007/s40685-019-0085-7,https://link.springer.com/content/pdf/10.1007/s40685-019-0085-7.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/duchek2020resilience.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/duchek2020resilience.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
1,fedorova2020external_factors_russia,Analysis of the External Factors Influence on the Forecasting of Bankruptcy of Russian Companies,2020,open_access_pdf_download_failed,gold,https://doi.org/10.21638/spbu05.2020.106,https://economicsjournal.spbu.ru/article/download/7144/5393,,,Legal OA PDF exists but automated download failed; open the PDF URL manually in browser or via university/VPN.
1,hunter2001failure_risk_russia,Failure Risk: A Comparative Study of UK and Russian Firms,2001,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
1,saito2015precision,The Precision-Recall Plot Is More Informative than the ROC Plot When Evaluating Binary Classifiers on Imbalanced Datasets,2015,open_access_pdf_downloaded,gold,https://doi.org/10.1371/journal.pone.0118432,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0118432&type=printable,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_pdfs/saito2015precision.pdf,/Users/whotfisart/codex/Thesis work/market_shifts_clean/reports/literature/legal_full_text_extracts/saito2015precision.txt,Local legal PDF downloaded and text extracted; read notes can be written now.
1,tinoco2013financial,"Financial Distress and Bankruptcy Prediction among Listed Companies Using Accounting, Market and Macroeconomic Variables",2013,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
1,zhang2022xai,An Explainable Artificial Intelligence Approach for Financial Distress Prediction,2022,not_open_access_by_unpaywall,closed,,,,,"Likely paywalled; retrieve through university library/VPN, author repository, ResearchGate request, or email author."
