metric,value,target,status,note
total_references,75,>= 50,PASS,Thesis requirement is at least 50 sources.
academic_journal_articles,58,>= 25,PASS,Requirement asks roughly 50-60% academic journal articles; this package exceeds that floor.
peer_reviewed_sources,62,>= 30,PASS,Includes journal articles and peer-reviewed conference papers.
english_language_academic_journal_articles,57,>= 17,PASS,This satisfies the one-third foreign English-language academic journal requirement under the current source set.
recent_2020_or_newer_sources,27,>= 12,PASS,Recent sources are included so the review is not only classical.
verified_doi_or_official_pages,75,75,PASS,"Every row has a DOI, official page, publisher page, or official report URL."
sources_with_clear_public_or_official_access_flag,14,documented,PASS,These sources are marked as official/public/open-page accessible.
sources_with_unknown_or_access_limited_notes,61,explicitly labeled,PASS,These are not removed; they are labeled in the critical-evaluation table.
bucket::Classical firm failure and financial distress prediction,11,see plan minimums,PASS,Bucket represented in matrix.
"bucket::Design science, dashboard, and decision-support artifact framing",5,see plan minimums,PASS,Bucket represented in matrix.
"bucket::Firm fundamentals, financial ratios, and deterioration features",7,see plan minimums,PASS,Bucket represented in matrix.
bucket::Interpretability and explainable ML,7,see plan minimums,PASS,Bucket represented in matrix.
"bucket::Machine learning, rare-event evaluation, and temporal validation",15,see plan minimums,PASS,Bucket represented in matrix.
"bucket::Macroeconomic conditions, credit cycles, and market-shift/default context",7,see plan minimums,PASS,Bucket represented in matrix.
"bucket::Missing data, data integrity, and accounting-data limitations",4,see plan minimums,PASS,Bucket represented in matrix.
bucket::Official data sources and empirical context,8,see plan minimums,PASS,Bucket represented in matrix.
bucket::Strategic management and resilience framing,6,see plan minimums,PASS,Bucket represented in matrix.
bucket::Emerging-market and Russia-specific distress prediction context,5,see plan minimums,PASS,Bucket represented in matrix.
