citation_key,authors,year,title,publication,source_type,peer_reviewed_yes_no_unknown,language,bucket,main_method_or_theory,data_scope,main_contribution,main_limitation_or_critique,how_this_thesis_uses_it,supports_claim,doi_or_url,verification_status
beaver1966financial,"Beaver, William H.",1966,Financial Ratios as Predictors of Failure,Journal of Accounting Research,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,univariate ratio analysis,failed and non-failed firms; accounting ratios,Shows that accounting ratios can contain early warning information before business failure.,Uses a narrow classical design and does not address modern panel validation or ML.,Historical foundation for ratio-based failure signals.,"Profitability, liquidity, and leverage ratios are defensible early warning variables.",https://doi.org/10.2307/2490171,verified_doi
altman1968financial,"Altman, Edward I.",1968,"Financial Ratios, Discriminant Analysis and the Prediction of Corporate Bankruptcy",The Journal of Finance,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,multiple discriminant analysis,manufacturing firms; bankruptcy prediction,Introduces the Z-score logic that combines multiple ratios into a failure-risk score.,Industry and time-period specificity limit direct use as a modern universal model.,Benchmark for classical bankruptcy prediction.,"Composite accounting-ratio models are a mature baseline, not a novel contribution by themselves.",https://doi.org/10.1111/j.1540-6261.1968.tb00843.x,verified_doi
altman1997international,"Altman, Edward I. and Narayanan, Paul",1997,An International Survey of Business Failure Classification Models,"Financial Markets, Institutions & Instruments",academic_journal_article,yes,English,Classical firm failure and financial distress prediction,international literature survey,business failure classification models across countries,"Shows that failure prediction is an international, mature field with many country-specific model variants.",A survey of pre-modern methods; not a guide to current data engineering or explainable ML.,Prevents overclaiming novelty in bankruptcy prediction itself.,"The novelty must be framed around the audited panel, target hierarchy, validation, and artifact rather than the existence of bankruptcy prediction.",https://doi.org/10.1111/1468-0416.00010,verified_doi
ohlson1980financial,"Ohlson, James A.",1980,Financial Ratios and the Probabilistic Prediction of Bankruptcy,Journal of Accounting Research,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,logit bankruptcy model,public firms; accounting variables,Moves bankruptcy prediction toward probabilistic modeling with accounting variables.,Still a classical statistical model and does not solve sample selection or rare-event challenges alone.,Supports logistic benchmark and probability framing.,Probabilistic outputs are more natural for early-warning systems than deterministic labels.,https://doi.org/10.2307/2490395,verified_doi
zmijewski1984methodological,"Zmijewski, Mark E.",1984,Methodological Issues Related to the Estimation of Financial Distress Prediction Models,Journal of Accounting Research,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,methodological critique,financial distress prediction model estimation,Highlights sample selection and estimation problems in distress modeling.,Predates modern SEC-scale panels and machine learning.,Supports explicit audit and label-construction discussion.,Failure labels and universe construction can bias results and must be documented.,https://doi.org/10.2307/2490859,verified_doi
merton1974pricing,"Merton, Robert C.",1974,On the Pricing of Corporate Debt: The Risk Structure of Interest Rates,The Journal of Finance,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,structural credit-risk model,corporate debt and default-risk theory,Provides a structural market-based theory of default risk.,Requires market-value and volatility inputs that are outside the current production panel.,"Future-work comparator only, not an implemented model.",Market-price/default-distance models are relevant but not implemented in this thesis.,https://doi.org/10.1111/j.1540-6261.1974.tb03058.x,verified_doi
hillegeist2004assessing,"Hillegeist, Stephen A. and Keating, Elizabeth K. and Cram, Donald P. and Lundstedt, Kyle G.",2004,Assessing the Probability of Bankruptcy,Review of Accounting Studies,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,comparison of accounting and market-based bankruptcy measures,public firms; bankruptcy probability assessment,Compares accounting-score approaches with market-based probability estimates.,Market-based variables are not available for every current row in the production accounting panel.,Supports limitation/future-work discussion about market-based features.,Accounting-only panels are defensible but do not exhaust all possible distress information.,https://doi.org/10.1023/B:RAST.0000013627.90884.b7,verified_doi
shumway2001forecasting,"Shumway, Tyler",2001,Forecasting Bankruptcy More Accurately: A Simple Hazard Model,The Journal of Business,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,hazard model,firm-period bankruptcy forecasting,Argues that bankruptcy prediction should use time-varying panel logic rather than one static observation per firm.,Hazard modeling is not the implemented model family in this project.,Supports firm-period panel and temporal framing.,Prediction rows should be anchored in time and evaluated out of sample.,https://doi.org/10.1086/209665,verified_doi
duffie2007multi,"Duffie, Darrell and Saita, Leandro and Wang, Ke",2007,Multi-Period Corporate Default Prediction with Stochastic Covariates,Journal of Financial Economics,academic_journal_article,yes,English,"Macroeconomic conditions, credit cycles, and market-shift/default context",multi-period default prediction,corporate default; dynamic covariates,Links corporate default prediction to time-varying firm and macro-financial covariates.,Different event definition and model design than the current SEC/FRED panel.,Supports dynamic macro-context variables and forward horizons.,Default and distress risk should be studied with time-varying covariates.,https://doi.org/10.1016/j.jfineco.2005.10.011,verified_doi
campbell2008distress,"Campbell, John Y. and Hilscher, Jens and Szilagyi, Jan",2008,In Search of Distress Risk,The Journal of Finance,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,dynamic distress-risk modeling,public firms; distress risk and returns,"Shows distress risk is related to profitability, leverage, market conditions, and dynamic firm characteristics.",Uses market variables not fully implemented in the current accounting-focused panel.,Supports profitability/leverage/deterioration signal interpretation.,Distress is multidimensional and not identical to a single bankruptcy filing date.,https://doi.org/10.1111/j.1540-6261.2008.01416.x,verified_doi
bharath2008forecasting,"Bharath, Sreedhar T. and Shumway, Tyler",2008,Forecasting Default with the Merton Distance to Default Model,The Review of Financial Studies,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,market-based default model comparison,public-company default prediction,Evaluates structural distance-to-default ideas against simpler default forecasting inputs.,Not implemented because the current production panel is SEC/FRED based.,Future-work and limitation source.,Market-based default predictors are relevant but outside the current artifact scope.,https://doi.org/10.1093/rfs/hhn044,verified_doi
bauer2014hazard,"Bauer, Julian and Agarwal, Vineet",2014,Are Hazard Models Superior to Traditional Bankruptcy Prediction Approaches? A Comprehensive Test,Journal of Banking & Finance,academic_journal_article,yes,English,Classical firm failure and financial distress prediction,hazard and traditional model comparison,bankruptcy prediction methodology,Tests whether hazard approaches outperform traditional models under comparable settings.,The thesis uses temporal ML classifiers rather than full hazard models.,Supports methodological caution and model-comparison framing.,Method choice and evaluation design materially affect bankruptcy-prediction conclusions.,https://doi.org/10.1016/j.jbankfin.2013.12.013,verified_doi
tinoco2013financial,"Tinoco, Mario H. and Wilson, Nick",2013,"Financial Distress and Bankruptcy Prediction among Listed Companies Using Accounting, Market and Macroeconomic Variables",International Review of Financial Analysis,academic_journal_article,yes,English,"Macroeconomic conditions, credit cycles, and market-shift/default context","distress prediction with accounting, market, and macro variables",listed companies,"Directly supports combining accounting, market, and macroeconomic variables for listed-company distress prediction.","Does not provide the current thesis artifact, target hierarchy, or dashboard.",Core support for the SEC plus FRED design.,"Macro context is a legitimate input layer, but it should not be oversold as the dominant cause without evidence.",https://doi.org/10.1016/j.irfa.2013.02.013,verified_doi
tian2017financial,"Tian, Shaonan and Yu, Yan",2017,Financial Ratios and Bankruptcy Predictions: An International Evidence,International Review of Economics & Finance,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",international financial-ratio bankruptcy analysis,international listed firms,"Shows ratio signals can generalize across countries, while still requiring local validation.",International comparability differs from this U.S. SEC panel.,Supports ratio families and warns against country-blind generalization.,"Financial ratios are useful, but sample scope and accounting regime matter.",https://doi.org/10.1016/j.iref.2017.07.025,verified_doi
alaminos2016global,"Alaminos, David and del Castillo, Angel and Fernandez, Manuel Angel",2016,A Global Model for Bankruptcy Prediction,PLOS ONE,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",global bankruptcy prediction,international firm data,"Demonstrates interest in broader, cross-country bankruptcy-prediction models.",Global model framing does not remove the need for local SEC data auditing.,Supports discussion of scope limits and future international extensions.,"International expansion is a future direction, not part of the current production pipeline.",https://doi.org/10.1371/journal.pone.0166693,verified_doi
taffler1983assessment,"Taffler, Richard J.",1983,The Assessment of Company Solvency and Performance Using a Statistical Model,Accounting and Business Research,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",statistical solvency model,company solvency and performance,"Reinforces the long-standing link between solvency, performance, and accounting data.",Older statistical model; not enough for modern novelty.,Background support for solvency and performance indicators.,Solvency and performance measures are part of a long empirical tradition.,https://doi.org/10.1080/00014788.1983.9729767,verified_doi
platt1994bankruptcy,"Platt, Harlan D. and Platt, Marjorie B.",1994,Bankruptcy Prediction with Real Variables,Journal of Business Finance & Accounting,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",bankruptcy model with non-ratio variables,bankruptcy prediction,Broadens the distress-prediction feature discussion beyond pure financial-ratio sets.,Feature universe differs from the SEC/FRED panel.,Supports using richer firm-period attributes and context variables.,The feature set can reasonably include more than a small fixed ratio formula.,https://doi.org/10.1111/j.1468-5957.1994.tb00332.x,verified_doi
billios2024power,"Billios, Dimitrios and Seretidou, Dimitra and Stavropoulos, Antonios",2024,The Power of Numerical Indicators in Predicting Bankruptcy: A Systematic Review,Journal of Risk and Financial Management,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",numerical indicator bankruptcy prediction,systematic review of numerical indicators in bankruptcy prediction,Recent review evidence that numerical financial indicators and cash-flow information remain useful for bankruptcy prediction.,Review scope is narrow and does not provide the thesis data architecture.,Modern support that accounting/numerical indicators remain relevant.,Using ratios and numeric fundamentals is not outdated if combined with modern validation and interpretation.,https://doi.org/10.3390/jrfm17100433,verified_doi
valaskova2023postpandemic,"Valaskova, Katarina and Gajdosikova, Dominika and Belas, Jaroslav",2023,Bankruptcy Prediction in the Post-Pandemic Period: A Case Study of Visegrad Group Countries,Oeconomia Copernicana,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",post-pandemic bankruptcy-risk prediction,Visegrad Group countries in the post-pandemic period,Shows renewed post-pandemic interest in firm failure prediction and financial-health monitoring.,Country-specific setting and not SEC/FRED scale.,Recent context for why distress/resilience analysis remains current after large market shocks.,The topic remains active and relevant in recent literature.,https://doi.org/10.24136/oc.2023.007,verified_doi
bragoli2022industrial,"Bragoli, Daniela and Ferretti, Camilla and Ganugi, Piero and Marseguerra, Giovanni and Mezzogori, Davide and Zammori, Francesco",2022,Machine-Learning Models for Bankruptcy Prediction: Do Industrial Variables Matter?,Spatial Economic Analysis,academic_journal_article,yes,English,"Firm fundamentals, financial ratios, and deterioration features",machine-learning bankruptcy models with industrial variables,firm bankruptcy with industry context,Directly motivates industry metadata and sector-aware analysis.,Different geography/data and not the same dashboard artifact.,Supports inclusion of industry metadata and sector summaries.,Industry context can matter for factor interpretation.,https://doi.org/10.1080/17421772.2021.1977377,verified_doi
charalambous2022maximizing,"Charalambous, Chris and Martzoukos, Spiros H. and Taoushianis, Zenon",2022,Estimating Corporate Bankruptcy Forecasting Models by Maximizing Discriminatory Power,Review of Quantitative Finance and Accounting,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",bankruptcy model estimation by AUROC optimization,U.S. public firms; bankruptcy and financial distress forecasting,Shows that optimizing discriminatory power can improve out-of-sample bankruptcy and financial-distress forecasts.,Does not provide this thesis dashboard artifact.,Supports dashboard and metric interpretation beyond accuracy.,"For rare distress events, discriminatory-power metrics and out-of-sample design matter.",https://doi.org/10.1007/s11156-021-00995-0,verified_doi
barboza2017machine,"Barboza, Flavio and Kimura, Herbert and Altman, Edward",2017,Machine Learning Models and Bankruptcy Prediction,Expert Systems with Applications,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",machine-learning model comparison,bankruptcy prediction,Shows ML methods can improve bankruptcy-prediction performance relative to classical methods in some settings.,"Performance gains depend on data, validation, and target definition.",Core support for random forest and gradient boosting benchmarks.,ML is useful but must be validated and interpreted carefully.,https://doi.org/10.1016/j.eswa.2017.04.006,verified_doi
lessmann2015benchmarking,"Lessmann, Stefan and Baesens, Bart and Seow, Hsin-Vonn and Thomas, Lyn C.",2015,Benchmarking State-of-the-Art Classification Algorithms for Credit Scoring: An Update of Research,European Journal of Operational Research,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",classification algorithm benchmark,credit scoring,Provides modern classification benchmarking evidence in a related financial-risk domain.,Credit scoring is not identical to SEC-based firm failure/resilience.,Supports comparing multiple model families rather than relying on one algorithm.,Financial-risk prediction should benchmark model families under comparable splits.,https://doi.org/10.1016/j.ejor.2015.05.030,verified_doi
dasilas2024machine,"Dasilas, Apostolos and Rigani, Anna",2024,Machine Learning Techniques in Bankruptcy Prediction: A Systematic Literature Review,Expert Systems with Applications,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",systematic literature review,machine learning for bankruptcy prediction,Current synthesis of ML bankruptcy-prediction research and common design choices.,A review; it does not supply this thesis dataset or artifact.,Main recent review source to show the field is current.,"The literature is active and increasingly ML-oriented, but still leaves room for reproducible audited panels and artifacts.",https://doi.org/10.1016/j.eswa.2024.124761,verified_doi
zhao2024survey,"Zhao, Jinxian and Ouenniche, Jamal and De Smedt, Johannes",2024,"Survey, Classification and Critical Analysis of the Literature on Corporate Bankruptcy and Financial Distress Prediction",Machine Learning with Applications,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation","survey, classification, and critical analysis",corporate bankruptcy and financial distress prediction literature,Recent critical survey that situates bankruptcy and financial distress prediction as an active statistical and AI research area.,A survey and not a validation of the thesis panel.,Modern literature anchor for the ML/business-failure section.,"Recent work confirms the topic is current, not only an old Z-score tradition.",https://doi.org/10.1016/j.mlwa.2024.100527,verified_doi
kim2020corporate,"Kim, Minjun and Cho, Seonghoon and Ryu, Doojin",2020,Corporate Default Predictions Using Machine Learning: Literature Review,Sustainability,academic_journal_article,yes,English,"Machine learning, rare-event evaluation, and temporal validation",literature review,corporate default prediction using machine learning,Reviews machine-learning approaches to corporate default prediction.,Review-level evidence; not a direct empirical benchmark for this thesis.,Additional recent ML/default review source.,"Corporate default/distress prediction has moved toward ML, but model design and data quality remain central.",https://doi.org/10.3390/su12166325,verified_doi
