ticker,company_name,event_date,event_type,event_label,verification_status,source_name,source_type,source_url,court_or_regulator,evidence_note,why_included,limitations,verified_on
AAMRQ,AMR Corporation / American Airlines,2011-11-29,bankruptcy,formal_distress,source_verified_2026_05_07,American Airlines investor relations press release,company_press_release,https://americanairlines.gcs-web.com/news-releases/news-release-details/amr-and-american-airlines-file-chapter-11-reorganization-achieve,U.S. Bankruptcy Court for the Southern District of New York,"AMR and U.S.-based subsidiaries announced voluntary Chapter 11 petitions on November 29, 2011.",Voluntary Chapter 11 filing is a formal legal distress event.,Ticker is the post-bankruptcy/OTC display identifier used in the panel.,2026-05-07
ANRZQ,Alpha Natural Resources,2015-08-03,bankruptcy,formal_distress,source_verified_2026_05_07,Alpha Natural Resources / PRNewswire release mirror,company_press_release_mirror,https://www.rohstoff-welt.de/weiterleitung_artikel.php?lang=en&sid=117767,U.S. Bankruptcy Court for the Eastern District of Virginia,"Alpha Natural Resources and subsidiaries filed voluntary Chapter 11 petitions on August 3, 2015.",Voluntary Chapter 11 filing is a formal legal distress event.,Direct company archive was not accessible; the release is preserved through a PRNewswire mirror and corroborated by later Alpha restructuring releases.,2026-05-07
ASNA,Ascena Retail Group,2020-07-23,bankruptcy,formal_distress,source_verified_2026_05_07,Ascena SEC Form 10-K disclosure,sec_filing,https://www.sec.gov/Archives/edgar/data/1498301/000149830120000105/asna-20200801.htm,U.S. Bankruptcy Court for the Eastern District of Virginia,"Ascena disclosed that it and subsidiaries commenced voluntary Chapter 11 cases on July 23, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,"SEC filing is a later periodic report, not the initial press release.",2026-05-07
BBBY,Bed Bath & Beyond,2023-04-23,bankruptcy,formal_distress,source_verified_2026_05_07,Bed Bath & Beyond / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/bed-bath--beyond-inc-files-voluntary-chapter-11-petitions-301804829.html,U.S. Bankruptcy Court for the District of New Jersey,"The company announced voluntary Chapter 11 petitions on April 23, 2023.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
BRDS,Bird Global,2023-12-20,bankruptcy,formal_distress,source_verified_2026_05_07,Associated Press report,reputable_newswire,https://apnews.com/article/b1c48aca963ba163160e2b610a1eb870,U.S. Bankruptcy Court in Florida,"AP reported that Bird Global filed for Chapter 11 bankruptcy protection on December 20, 2023.",Chapter 11 filing is a formal legal distress event.,Official company release was not found in the accessible search results; reputable newswire source used.,2026-05-07
BTUUQ,Peabody Energy,2016-04-13,bankruptcy,formal_distress,source_verified_2026_05_07,Peabody Energy / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/amid-prolonged-industry-downturn-peabody-energy-takes-major-step-to-strengthen-liquidity-and-reduce-debt-through-chapter-11-protection-300250678.html,U.S. Bankruptcy Court for the Eastern District of Missouri,"Peabody announced voluntary Chapter 11 petitions for the majority of its U.S. entities on April 13, 2016.",Voluntary Chapter 11 filing is a formal legal distress event.,Australian entities were excluded from the filing.,2026-05-07
CANO,Cano Health,2024-02-04,bankruptcy,formal_distress,source_verified_2026_05_07,Cano Health / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/cano-health-enters-restructuring-support-agreement-with-a-significant-majority-of-its-lenders-to-strengthen-financial-position-302052889.html,U.S. Bankruptcy Court for the District of Delaware,"Cano Health announced a restructuring support agreement and Chapter 11 implementation on February 4, 2024.",Chapter 11 restructuring is a formal legal distress event.,The press release emphasizes the restructuring agreement; later SEC filings corroborate the Chapter 11 proceedings.,2026-05-07
CHK,Chesapeake Energy,2020-06-28,bankruptcy,formal_distress,source_verified_2026_05_07,Chesapeake Energy / PRNewswire press release,company_press_release,https://www.prnewswire.com/news-releases/chesapeake-energy-corporation-commences-voluntary-chapter-11-process-301084764.html,U.S. Bankruptcy Court for the Southern District of Texas,"Chesapeake announced voluntary Chapter 11 filing on June 28, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,None beyond ordinary bankruptcy-source reporting limits.,2026-05-07
CIT,CIT Group,2009-11-01,bankruptcy,formal_distress,source_verified_2026_05_07,CIT Group SEC Form 8-K,sec_filing,https://www.sec.gov/Archives/edgar/data/1171825/000095012309057703/y80157e8vk.htm,U.S. Bankruptcy Court for the Southern District of New York,"CIT disclosed voluntary Chapter 11 petitions filed on November 1, 2009.",Voluntary Chapter 11 filing is a formal legal distress event.,"Event predates the first usable panel prediction rows, so it contributes post-event metadata rather than forward labels.",2026-05-07
EKDKQ,Eastman Kodak,2012-01-19,bankruptcy,formal_distress,source_verified_2026_05_07,ABC News report citing Kodak news release,reputable_news_report,https://abcnews.go.com/blogs/business/2012/01/kodak-files-for-chapter-11-bankruptcy,U.S. Bankruptcy Court for the Southern District of New York,"ABC reported, citing Kodak's release, that Kodak and U.S. subsidiaries filed voluntary Chapter 11 petitions on January 19, 2012.",Voluntary Chapter 11 filing is a formal legal distress event.,Official Kodak archive was not accessible in the search results; reputable reporting cites the company release.,2026-05-07
FTR,Frontier Communications,2020-04-14,bankruptcy,formal_distress,source_verified_2026_05_07,Frontier Communications investor relations release,company_press_release,https://investor.frontier.com/news/news-details/2020/Frontier-Communications-Receives-Court-Approval-of-All-First-Day-Motions-to-Support-Business-Operations-04-16-2020/default.aspx,U.S. Bankruptcy Court for the Southern District of New York,"Frontier disclosed voluntary Chapter 11 petitions filed on April 14, 2020.",Voluntary Chapter 11 filing is a formal legal distress event.,Source is a first-day approval release two days after the petition date.,2026-05-07
