column,dtype,feature_family,plain_english_meaning,source,can_use_in_current_models,metadata_or_audit_only,missing_share,missingness_caveat
adsh,object,identifier_or_time,SEC accession/submission identifier for the filing observation.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
cik,int64,identifier_or_time,"SEC Central Index Key, used as the stable firm identifier.",SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
name,object,identifier_or_time,SEC company name from the filing/submission metadata.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
sic,int64,industry_or_universe_metadata,SEC SIC industry code.,metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
afs,object,identifier_or_time,SEC accelerated-filer status metadata.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
form,object,identifier_or_time,"SEC filing form, mainly 10-K, 10-K/A, 10-Q, and 10-Q/A.",SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
period,int64,identifier_or_time,SEC filing period end date in numeric YYYYMMDD form.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
fy,float64,identifier_or_time,Fiscal year reported in the SEC filing metadata.,SEC metadata,no,yes,0.0003785250141946,Schema missing share: 0.0%. Identifier/time metadata missingness should be reviewed before using the field operationally.
fp,object,identifier_or_time,"Fiscal period code from SEC metadata, such as FY, Q1, Q2, or Q3.",SEC metadata,no,yes,0.0003785250141946,Schema missing share: 0.0%. Identifier/time metadata missingness should be reviewed before using the field operationally.
filed,int64,identifier_or_time,SEC filing date in numeric YYYYMMDD form.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
sec_zip,object,identifier_or_time,SEC FSD ZIP/source package from which the filing was parsed.,SEC metadata,no,yes,0.0,Schema missing share: 0.0%. No missing values observed in the schema snapshot.
accounts_receivable,float64,sec_accounting_fundamental,"Accounts receivable, usually current receivables net of allowances.",SEC,no,no,0.2484385843164469,Schema missing share: 24.8%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
capex,float64,sec_accounting_fundamental,"Capital expenditure, primarily payments to acquire property, plant, and equipment.",SEC,yes,no,0.3515866506844994,Schema missing share: 35.2%. Moderate missingness; nulls are preserved and imputed only inside modeling pipelines.
